"epoch","vanilla_vae_4D - _step","vanilla_vae_4D - _step__MIN","vanilla_vae_4D - _step__MAX","vanilla_vae_4D - total_bottleneck_over_3","vanilla_vae_4D - total_bottleneck_over_3__MIN","vanilla_vae_4D - total_bottleneck_over_3__MAX","vanilla_vae_3D - _step","vanilla_vae_3D - _step__MIN","vanilla_vae_3D - _step__MAX","vanilla_vae_3D - total_bottleneck_over_3","vanilla_vae_3D - total_bottleneck_over_3__MIN","vanilla_vae_3D - total_bottleneck_over_3__MAX","vanilla_vae_2D - _step","vanilla_vae_2D - _step__MIN","vanilla_vae_2D - _step__MAX","vanilla_vae_2D - total_bottleneck_over_3","vanilla_vae_2D - total_bottleneck_over_3__MIN","vanilla_vae_2D - total_bottleneck_over_3__MAX","torus_vae - _step","torus_vae - _step__MIN","torus_vae - _step__MAX","torus_vae - total_bottleneck_over_3","torus_vae - total_bottleneck_over_3__MIN","torus_vae - total_bottleneck_over_3__MAX","klein_vae - _step","klein_vae - _step__MIN","klein_vae - _step__MAX","klein_vae - total_bottleneck_over_3","klein_vae - total_bottleneck_over_3__MIN","klein_vae - total_bottleneck_over_3__MAX"
"19","26","26","26","3.298995018005371","3.298995018005371","3.298995018005371","26","26","26","3.6717629432678223","3.6717629432678223","3.6717629432678223","26","26","26","4.992812633514404","4.992812633514404","4.992812633514404","26","26","26","6.945739269256592","6.945739269256592","6.945739269256592","26","26","26","6.438294887542725","6.438294887542725","6.438294887542725"
"39","53","53","53","2.503894090652466","2.503894090652466","2.503894090652466","53","53","53","3.046492099761963","3.046492099761963","3.046492099761963","53","53","53","4.3529815673828125","4.3529815673828125","4.3529815673828125","53","53","53","6.945739269256592","6.945739269256592","6.945739269256592","53","53","53","6.438294887542725","6.438294887542725","6.438294887542725"
"59","81","81","81","2.206549882888794","2.206549882888794","2.206549882888794","81","81","81","2.8251960277557373","2.8251960277557373","2.8251960277557373","81","81","81","4.316597938537598","4.316597938537598","4.316597938537598","81","81","81","6.945739269256592","6.945739269256592","6.945739269256592","81","81","81","6.438294887542725","6.438294887542725","6.438294887542725"
"79","108","108","108","2.136396646499634","2.136396646499634","2.136396646499634","108","108","108","2.5712902545928955","2.5712902545928955","2.5712902545928955","108","108","108","4.341627597808838","4.341627597808838","4.341627597808838","108","108","108","6.945739269256592","6.945739269256592","6.945739269256592","108","108","108","6.438294887542725","6.438294887542725","6.438294887542725"
"99","136","136","136","2.1183347702026367","2.1183347702026367","2.1183347702026367","136","136","136","2.5977303981781006","2.5977303981781006","2.5977303981781006","136","136","136","4.5372209548950195","4.5372209548950195","4.5372209548950195","136","136","136","6.945739269256592","6.945739269256592","6.945739269256592","136","136","136","6.40987491607666","6.40987491607666","6.40987491607666"
"119","163","163","163","2.0759685039520264","2.0759685039520264","2.0759685039520264","163","163","163","2.5727782249450684","2.5727782249450684","2.5727782249450684","163","163","163","4.49091100692749","4.49091100692749","4.49091100692749","163","163","163","6.945739269256592","6.945739269256592","6.945739269256592","163","163","163","6.226987838745117","6.226987838745117","6.226987838745117"
"139","190","190","190","2.073697328567505","2.073697328567505","2.073697328567505","190","190","190","2.583503007888794","2.583503007888794","2.583503007888794","190","190","190","4.281012535095215","4.281012535095215","4.281012535095215","190","190","190","6.945739269256592","6.945739269256592","6.945739269256592","190","190","190","6.227530002593994","6.227530002593994","6.227530002593994"
"159","218","218","218","2.033456563949585","2.033456563949585","2.033456563949585","218","218","218","2.571364164352417","2.571364164352417","2.571364164352417","218","218","218","4.125847816467285","4.125847816467285","4.125847816467285","218","218","218","6.945739269256592","6.945739269256592","6.945739269256592","218","218","218","6.22106409072876","6.22106409072876","6.22106409072876"
"179","245","245","245","2.0089731216430664","2.0089731216430664","2.0089731216430664","245","245","245","2.5737454891204834","2.5737454891204834","2.5737454891204834","245","245","245","3.9448468685150146","3.9448468685150146","3.9448468685150146","245","245","245","6.945739269256592","6.945739269256592","6.945739269256592","245","245","245","6.163135528564453","6.163135528564453","6.163135528564453"
"199","273","273","273","1.983566164970398","1.983566164970398","1.983566164970398","273","273","273","2.549690008163452","2.549690008163452","2.549690008163452","273","273","273","3.9414381980895996","3.9414381980895996","3.9414381980895996","273","273","273","6.945739269256592","6.945739269256592","6.945739269256592","273","273","273","6.14016580581665","6.14016580581665","6.14016580581665"
