"epoch","vanilla_vae_4D - _step","vanilla_vae_4D - _step__MIN","vanilla_vae_4D - _step__MAX","vanilla_vae_4D - val_loss","vanilla_vae_4D - val_loss__MIN","vanilla_vae_4D - val_loss__MAX","vanilla_vae_3D - _step","vanilla_vae_3D - _step__MIN","vanilla_vae_3D - _step__MAX","vanilla_vae_3D - val_loss","vanilla_vae_3D - val_loss__MIN","vanilla_vae_3D - val_loss__MAX","vanilla_vae_2D - _step","vanilla_vae_2D - _step__MIN","vanilla_vae_2D - _step__MAX","vanilla_vae_2D - val_loss","vanilla_vae_2D - val_loss__MIN","vanilla_vae_2D - val_loss__MAX","torus_vae - _step","torus_vae - _step__MIN","torus_vae - _step__MAX","torus_vae - val_loss","torus_vae - val_loss__MIN","torus_vae - val_loss__MAX","klein_vae - _step","klein_vae - _step__MIN","klein_vae - _step__MAX","klein_vae - val_loss","klein_vae - val_loss__MIN","klein_vae - val_loss__MAX"
"0","0","0","0","84.92989349365234","84.92989349365234","84.92989349365234","0","0","0","113.7144546508789","113.7144546508789","113.7144546508789","0","0","0","125.69229888916016","125.69229888916016","125.69229888916016","0","0","0","0.5997953414916992","0.5997953414916992","0.5997953414916992","0","0","0","0.5970469117164612","0.5970469117164612","0.5970469117164612"
"1","1","1","1","39.40827560424805","39.40827560424805","39.40827560424805","1","1","1","74.90523529052734","74.90523529052734","74.90523529052734","1","1","1","104.75509643554688","104.75509643554688","104.75509643554688","1","1","1","0.5927196145057678","0.5927196145057678","0.5927196145057678","1","1","1","0.5862926244735718","0.5862926244735718","0.5862926244735718"
"2","2","2","2","27.054630279541016","27.054630279541016","27.054630279541016","2","2","2","60.70025634765625","60.70025634765625","60.70025634765625","2","2","2","90.7400131225586","90.7400131225586","90.7400131225586","2","2","2","0.6228047609329224","0.6228047609329224","0.6228047609329224","2","2","2","0.6142456531524658","0.6142456531524658","0.6142456531524658"
"3","4","4","4","22.230304718017578","22.230304718017578","22.230304718017578","4","4","4","50.73145294189453","50.73145294189453","50.73145294189453","4","4","4","81.43229675292969","81.43229675292969","81.43229675292969","4","4","4","0.5643879175186157","0.5643879175186157","0.5643879175186157","4","4","4","0.6609317064285278","0.6609317064285278","0.6609317064285278"
"4","5","5","5","19.11098861694336","19.11098861694336","19.11098861694336","5","5","5","44.408809661865234","44.408809661865234","44.408809661865234","5","5","5","73.98768615722656","73.98768615722656","73.98768615722656","5","5","5","0.5862769484519958","0.5862769484519958","0.5862769484519958","5","5","5","0.5972785353660583","0.5972785353660583","0.5972785353660583"
"5","6","6","6","17.17734146118164","17.17734146118164","17.17734146118164","6","6","6","39.01306915283203","39.01306915283203","39.01306915283203","6","6","6","68.32745361328125","68.32745361328125","68.32745361328125","6","6","6","0.5475935339927673","0.5475935339927673","0.5475935339927673","6","6","6","0.5850759148597717","0.5850759148597717","0.5850759148597717"
"6","8","8","8","16.155963897705078","16.155963897705078","16.155963897705078","8","8","8","35.97507095336914","35.97507095336914","35.97507095336914","8","8","8","64.14996337890625","64.14996337890625","64.14996337890625","8","8","8","0.516554057598114","0.516554057598114","0.516554057598114","8","8","8","0.6129329204559326","0.6129329204559326","0.6129329204559326"
"7","9","9","9","14.97156810760498","14.97156810760498","14.97156810760498","9","9","9","33.84989929199219","33.84989929199219","33.84989929199219","9","9","9","60.41086196899414","60.41086196899414","60.41086196899414","9","9","9","0.5634075403213501","0.5634075403213501","0.5634075403213501","9","9","9","0.6103164553642273","0.6103164553642273","0.6103164553642273"
"8","10","10","10","14.356005668640137","14.356005668640137","14.356005668640137","10","10","10","30.391468048095703","30.391468048095703","30.391468048095703","10","10","10","56.605560302734375","56.605560302734375","56.605560302734375","10","10","10","0.5367267727851868","0.5367267727851868","0.5367267727851868","10","10","10","0.6159101724624634","0.6159101724624634","0.6159101724624634"
"9","12","12","12","13.484969139099121","13.484969139099121","13.484969139099121","12","12","12","28.87458610534668","28.87458610534668","28.87458610534668","12","12","12","54.96152114868164","54.96152114868164","54.96152114868164","12","12","12","0.5153840780258179","0.5153840780258179","0.5153840780258179","12","12","12","0.6097416877746582","0.6097416877746582","0.6097416877746582"
