"epoch","vanilla_vae_4D - _step","vanilla_vae_4D - _step__MIN","vanilla_vae_4D - _step__MAX","vanilla_vae_4D - var_z","vanilla_vae_4D - var_z__MIN","vanilla_vae_4D - var_z__MAX","vanilla_vae_3D - _step","vanilla_vae_3D - _step__MIN","vanilla_vae_3D - _step__MAX","vanilla_vae_3D - var_z","vanilla_vae_3D - var_z__MIN","vanilla_vae_3D - var_z__MAX","vanilla_vae_2D - _step","vanilla_vae_2D - _step__MIN","vanilla_vae_2D - _step__MAX","vanilla_vae_2D - var_z","vanilla_vae_2D - var_z__MIN","vanilla_vae_2D - var_z__MAX","torus_vae - _step","torus_vae - _step__MIN","torus_vae - _step__MAX","torus_vae - var_z","torus_vae - var_z__MIN","torus_vae - var_z__MAX","klein_vae - _step","klein_vae - _step__MIN","klein_vae - _step__MAX","klein_vae - var_z","klein_vae - var_z__MIN","klein_vae - var_z__MAX"
"19","26","26","26","43.032264709472656","43.032264709472656","43.032264709472656","26","26","26","43.5539665222168","43.5539665222168","43.5539665222168","26","26","26","40.90168762207031","40.90168762207031","40.90168762207031","26","26","26","0.3478527069091797","0.3478527069091797","0.3478527069091797","26","26","26","0.5148494243621826","0.5148494243621826","0.5148494243621826"
"39","53","53","53","32.254032135009766","32.254032135009766","32.254032135009766","53","53","53","35.406612396240234","35.406612396240234","35.406612396240234","53","53","53","37.159202575683594","37.159202575683594","37.159202575683594","53","53","53","0.3314230144023895","0.3314230144023895","0.3314230144023895","53","53","53","0.19981305301189423","0.19981305301189423","0.19981305301189423"
"59","81","81","81","27.55229949951172","27.55229949951172","27.55229949951172","81","81","81","29.087919235229492","29.087919235229492","29.087919235229492","81","81","81","35.30938720703125","35.30938720703125","35.30938720703125","81","81","81","0.3734131455421448","0.3734131455421448","0.3734131455421448","81","81","81","0.2249900996685028","0.2249900996685028","0.2249900996685028"
"79","108","108","108","25.885461807250977","25.885461807250977","25.885461807250977","108","108","108","29.250640869140625","29.250640869140625","29.250640869140625","108","108","108","31.104509353637695","31.104509353637695","31.104509353637695","108","108","108","0.38910233974456787","0.38910233974456787","0.38910233974456787","108","108","108","0.2013513147830963","0.2013513147830963","0.2013513147830963"
"99","136","136","136","25.548717498779297","25.548717498779297","25.548717498779297","136","136","136","28.643524169921875","28.643524169921875","28.643524169921875","136","136","136","31.489879608154297","31.489879608154297","31.489879608154297","136","136","136","0.363324910402298","0.363324910402298","0.363324910402298","136","136","136","0.1554322987794876","0.1554322987794876","0.1554322987794876"
"119","163","163","163","25.07579803466797","25.07579803466797","25.07579803466797","163","163","163","28.184768676757812","28.184768676757812","28.184768676757812","163","163","163","31.157230377197266","31.157230377197266","31.157230377197266","163","163","163","0.3819035291671753","0.3819035291671753","0.3819035291671753","163","163","163","0.14363479614257812","0.14363479614257812","0.14363479614257812"
"139","190","190","190","24.57815933227539","24.57815933227539","24.57815933227539","190","190","190","27.781911849975586","27.781911849975586","27.781911849975586","190","190","190","30.985523223876953","30.985523223876953","30.985523223876953","190","190","190","0.3772363066673279","0.3772363066673279","0.3772363066673279","190","190","190","0.14445705711841583","0.14445705711841583","0.14445705711841583"
"159","218","218","218","24.02606201171875","24.02606201171875","24.02606201171875","218","218","218","27.321990966796875","27.321990966796875","27.321990966796875","218","218","218","30.920509338378906","30.920509338378906","30.920509338378906","218","218","218","0.38531601428985596","0.38531601428985596","0.38531601428985596","218","218","218","0.1387653350830078","0.1387653350830078","0.1387653350830078"
"179","245","245","245","23.461044311523438","23.461044311523438","23.461044311523438","245","245","245","26.832496643066406","26.832496643066406","26.832496643066406","245","245","245","30.743144989013672","30.743144989013672","30.743144989013672","245","245","245","0.3832664489746094","0.3832664489746094","0.3832664489746094","245","245","245","0.13936299085617065","0.13936299085617065","0.13936299085617065"
"199","273","273","273","22.864246368408203","22.864246368408203","22.864246368408203","273","273","273","26.332176208496094","26.332176208496094","26.332176208496094","273","273","273","30.61661148071289","30.61661148071289","30.61661148071289","273","273","273","0.3890066146850586","0.3890066146850586","0.3890066146850586","273","273","273","0.1371253877878189","0.1371253877878189","0.1371253877878189"
